pizza_id,unit_price,pizza_size,pizza_category,pizza_name
hawaiian_m,13.25,M,Classic,The Hawaiian Pizza
classic_dlx_m,16.0,M,Classic,The Classic Deluxe Pizza
five_cheese_l,18.5,L,Veggie,The Five Cheese Pizza
ital_supr_l,20.75,L,Supreme,The Italian Supreme Pizza
mexicana_m,16.0,M,Veggie,The Mexicana Pizza
thai_ckn_l,20.75,L,Chicken,The Thai Chicken Pizza
ital_supr_m,16.5,M,Supreme,The Italian Supreme Pizza
prsc_argla_l,20.75,L,Supreme,The Prosciutto and Arugula Pizza
ital_supr_m,16.5,M,Supreme,The Italian Supreme Pizza
ital_supr_m,16.5,M,Supreme,The Italian Supreme Pizza
bbq_ckn_s,12.75,S,Chicken,The Barbecue Chicken Pizza
the_greek_s,12.0,S,Classic,The Greek Pizza
spinach_supr_s,12.5,S,Supreme,The Spinach Supreme Pizza
spinach_supr_s,12.5,S,Supreme,The Spinach Supreme Pizza
classic_dlx_s,12.0,S,Classic,The Classic Deluxe Pizza
green_garden_s,12.0,S,Veggie,The Green Garden Pizza
ital_cpcllo_l,20.5,L,Classic,The Italian Capocollo Pizza
ital_supr_l,20.75,L,Supreme,The Italian Supreme Pizza
ital_supr_s,12.5,S,Supreme,The Italian Supreme Pizza
mexicana_s,12.0,S,Veggie,The Mexicana Pizza
spicy_ital_l,20.75,L,Supreme,The Spicy Italian Pizza
spin_pesto_l,20.75,L,Veggie,The Spinach Pesto Pizza
veggie_veg_s,12.0,S,Veggie,The Vegetables + Vegetables Pizza
mexicana_l,20.25,L,Veggie,The Mexicana Pizza
southw_ckn_l,20.75,L,Chicken,The Southwest Chicken Pizza
bbq_ckn_l,20.75,L,Chicken,The Barbecue Chicken Pizza
cali_ckn_l,20.75,L,Chicken,The California Chicken Pizza
cali_ckn_m,16.75,M,Chicken,The California Chicken Pizza
pepperoni_l,15.25,L,Classic,The Pepperoni Pizza
cali_ckn_l,20.75,L,Chicken,The California Chicken Pizza
cali_ckn_s,12.75,S,Chicken,The California Chicken Pizza
ckn_pesto_l,20.75,L,Chicken,The Chicken Pesto Pizza
ital_supr_m,16.5,M,Supreme,The Italian Supreme Pizza
mexicana_l,20.25,L,Veggie,The Mexicana Pizza
the_greek_s,12.0,S,Classic,The Greek Pizza
big_meat_s,12.0,S,Classic,The Big Meat Pizza
five_cheese_l,18.5,L,Veggie,The Five Cheese Pizza
soppressata_l,20.75,L,Supreme,The Soppressata Pizza
the_greek_s,12.0,S,Classic,The Greek Pizza
four_cheese_l,17.95,L,Veggie,The Four Cheese Pizza
napolitana_s,12.0,S,Classic,The Napolitana Pizza
thai_ckn_l,20.75,L,Chicken,The Thai Chicken Pizza
bbq_ckn_l,20.75,L,Chicken,The Barbecue Chicken Pizza
calabrese_m,16.25,M,Supreme,The Calabrese Pizza
five_cheese_l,18.5,L,Veggie,The Five Cheese Pizza
four_cheese_m,14.75,M,Veggie,The Four Cheese Pizza
ital_supr_m,16.5,M,Supreme,The Italian Supreme Pizza
ital_veggie_s,12.75,S,Veggie,The Italian Vegetables Pizza
mediterraneo_m,16.0,M,Veggie,The Mediterranean Pizza
mexicana_l,20.25,L,Veggie,The Mexicana Pizza
peppr_salami_s,12.5,S,Supreme,The Pepper Salami Pizza
spinach_fet_l,20.25,L,Veggie,The Spinach and Feta Pizza
napolitana_l,20.5,L,Classic,The Napolitana Pizza
ital_cpcllo_l,20.5,L,Classic,The Italian Capocollo Pizza
sicilian_l,20.25,L,Supreme,The Sicilian Pizza
big_meat_s,12.0,S,Classic,The Big Meat Pizza
five_cheese_l,18.5,L,Veggie,The Five Cheese Pizza
ital_cpcllo_l,20.5,L,Classic,The Italian Capocollo Pizza
five_cheese_l,18.5,L,Veggie,The Five Cheese Pizza
ital_cpcllo_m,16.0,M,Classic,The Italian Capocollo Pizza
southw_ckn_l,20.75,L,Chicken,The Southwest Chicken Pizza
southw_ckn_s,12.75,S,Chicken,The Southwest Chicken Pizza
bbq_ckn_m,16.75,M,Chicken,The Barbecue Chicken Pizza
ital_cpcllo_m,16.0,M,Classic,The Italian Capocollo Pizza
pepperoni_m,12.5,M,Classic,The Pepperoni Pizza
prsc_argla_s,12.5,S,Supreme,The Prosciutto and Arugula Pizza
sicilian_m,16.25,M,Supreme,The Sicilian Pizza
thai_ckn_l,20.75,L,Chicken,The Thai Chicken Pizza
classic_dlx_s,12.0,S,Classic,The Classic Deluxe Pizza
veggie_veg_l,20.25,L,Veggie,The Vegetables + Vegetables Pizza
bbq_ckn_l,20.75,L,Chicken,The Barbecue Chicken Pizza
classic_dlx_m,16.0,M,Classic,The Classic Deluxe Pizza
spinach_fet_l,20.25,L,Veggie,The Spinach and Feta Pizza
ckn_alfredo_s,12.75,S,Chicken,The Chicken Alfredo Pizza
green_garden_s,12.0,S,Veggie,The Green Garden Pizza
thai_ckn_l,20.75,L,Chicken,The Thai Chicken Pizza
mexicana_m,16.0,M,Veggie,The Mexicana Pizza
pepperoni_s,9.75,S,Classic,The Pepperoni Pizza
big_meat_s,12.0,S,Classic,The Big Meat Pizza
green_garden_l,20.25,L,Veggie,The Green Garden Pizza
ital_cpcllo_l,20.5,L,Classic,The Italian Capocollo Pizza
ital_supr_m,16.5,M,Supreme,The Italian Supreme Pizza
bbq_ckn_l,20.75,L,Chicken,The Barbecue Chicken Pizza
green_garden_s,12.0,S,Veggie,The Green Garden Pizza
the_greek_s,12.0,S,Classic,The Greek Pizza
green_garden_m,16.0,M,Veggie,The Green Garden Pizza
pep_msh_pep_l,17.5,L,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
pepperoni_m,12.5,M,Classic,The Pepperoni Pizza
thai_ckn_l,20.75,L,Chicken,The Thai Chicken Pizza
bbq_ckn_m,16.75,M,Chicken,The Barbecue Chicken Pizza
classic_dlx_m,16.0,M,Classic,The Classic Deluxe Pizza
ital_supr_l,20.75,L,Supreme,The Italian Supreme Pizza
mexicana_l,20.25,L,Veggie,The Mexicana Pizza
hawaiian_s,10.5,S,Classic,The Hawaiian Pizza
ital_cpcllo_l,20.5,L,Classic,The Italian Capocollo Pizza
ital_supr_l,20.75,L,Supreme,The Italian Supreme Pizza
four_cheese_l,17.95,L,Veggie,The Four Cheese Pizza
southw_ckn_s,12.75,S,Chicken,The Southwest Chicken Pizza
four_cheese_m,14.75,M,Veggie,The Four Cheese Pizza
green_garden_s,12.0,S,Veggie,The Green Garden Pizza
big_meat_s,12.0,S,Classic,The Big Meat Pizza
five_cheese_l,18.5,L,Veggie,The Five Cheese Pizza
mexicana_l,20.25,L,Veggie,The Mexicana Pizza
peppr_salami_m,16.5,M,Supreme,The Pepper Salami Pizza
ckn_alfredo_m,16.75,M,Chicken,The Chicken Alfredo Pizza
ital_supr_m,16.5,M,Supreme,The Italian Supreme Pizza
peppr_salami_l,20.75,L,Supreme,The Pepper Salami Pizza
spin_pesto_s,12.5,S,Veggie,The Spinach Pesto Pizza
four_cheese_l,17.95,L,Veggie,The Four Cheese Pizza
hawaiian_s,10.5,S,Classic,The Hawaiian Pizza
thai_ckn_m,16.75,M,Chicken,The Thai Chicken Pizza
ckn_pesto_l,20.75,L,Chicken,The Chicken Pesto Pizza
classic_dlx_l,20.5,L,Classic,The Classic Deluxe Pizza
thai_ckn_m,16.75,M,Chicken,The Thai Chicken Pizza
southw_ckn_l,20.75,L,Chicken,The Southwest Chicken Pizza
veggie_veg_s,12.0,S,Veggie,The Vegetables + Vegetables Pizza
ckn_pesto_m,16.75,M,Chicken,The Chicken Pesto Pizza
green_garden_s,12.0,S,Veggie,The Green Garden Pizza
prsc_argla_l,20.75,L,Supreme,The Prosciutto and Arugula Pizza
spicy_ital_l,20.75,L,Supreme,The Spicy Italian Pizza
sicilian_l,20.25,L,Supreme,The Sicilian Pizza
the_greek_xl,25.5,XL,Classic,The Greek Pizza
bbq_ckn_l,20.75,L,Chicken,The Barbecue Chicken Pizza
pep_msh_pep_l,17.5,L,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
hawaiian_l,16.5,L,Classic,The Hawaiian Pizza
mexicana_l,20.25,L,Veggie,The Mexicana Pizza
spicy_ital_l,20.75,L,Supreme,The Spicy Italian Pizza
pep_msh_pep_s,11.0,S,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
spinach_supr_m,16.5,M,Supreme,The Spinach Supreme Pizza
prsc_argla_m,16.5,M,Supreme,The Prosciutto and Arugula Pizza
thai_ckn_l,20.75,L,Chicken,The Thai Chicken Pizza
